id,text,aspects
720,"bread at beginning is super tasty and make want pizza is delicious and come in personal size , however be warned peter favourite pizza with prosciutto and baby arugula is actually margarite pizza with cold prosciutto and baby arugula on top , like salad .","['want pizza', 'cold prosciutto', 'favourite pizza', 'baby arugula', 'peter favourite pizza', 'super tasty', 'margarite pizza', 'personal size', 'prosciutto and baby arugula']"
721,"yes , price high , but felt it worth it .",[]
722,"large selection of bruschettas , panini , tramezzinis keep palate stagnating .",['large selection']
723,"always found waiter go of way to be helpful , despite fact often busy lot of diner .",['busy lot']
724,"classical fare , chef given new life to an old cuisine really innovative tasty dish genuinely indian without heavy or old burn out .","['new life', 'indian dish', 'heavy burn', 'classical fare', 'heavy or old burn', 'innovative dish', 'old cuisine', 'tasty dish']"
725,owner truly caters to need .,[]
726,he take real pride in food business .,"['real pride', 'food business']"
727,every time in new york make it point to visit saul on smith street .,"['smith street', 'new york']"
728,my boyfriend went to celebrate my birthday night say is it magnificent .,"['my birthday night', 'my boyfriend', 'birthday night']"
729,"so if want nice , enjoyable meal at montparnasse , go early pre theater prix fixe .","['nice meal', 'early fixe', 'nice , enjoyable meal', 'enjoyable meal', 'prix fixe', 'theater prix', 'pre fixe']"
730,"year , it always provided pleasurable dining experience quality food wine .","['dining experience', 'pleasurable experience', 'food wine', 'quality wine', 'experience wine']"
731,would go back tho .,[]
732,"photobook menu cute touch , certainly helped my group pick fried chicken , pork chop , noodle dish we ordered .","['photobook touch', 'pork chop', 'my group', 'fried chicken', 'photobook menu cute touch', 'cute touch', 'noodle dish']"
733,large two people but nothing left .,"['large two people', 'large people']"
734,not imagine better indian food in of city .,"['indian food', 'better indian food', 'better food']"
735,great romantic place date try to get corner booth table little privacy to sit close ! .,"['booth table', 'great romantic place date', 'little privacy', 'corner table', 'romantic date', 'great date', 'place date']"
736,pleasant surprise .,['pleasant surprise']
737,asked an open faced cheese sandwich manager basically told me to take my business elsewhere !,"['my business', 'sandwich manager', 'open manager', 'cheese manager', 'faced manager']"
738,if mind noise go to chart house .,"['chart house', 'mind noise']"
739,we got of it back at home u .,[]
740,get pm .,[]
741,good bread a well .,"['a well', 'good bread']"
742,"if happens , ask real naan .",['real naan']
743,we fan of half price saturday night option inedible squid recent visit .,"['night option', 'recent visit', 'half price', 'saturday night']"
744,"so , if yo really care is sittingnext to , is inch away , would say try it .",[]
745,"pizza is terrific , a is homemade pasta .",['homemade pasta']
746,definitely neighborhood favorite .,[]
747,is wonderful on stand point especially value ofr money .,"['ofr money', 'stand point']"
748,my first encounter happened one friday evening friend .,"['first encounter', 'friday friend', 'my first encounter', 'evening friend']"
749,example is soup oz dollar mushroom oz .,[]
750,"service is not exactly five star , but thats not really big deal .","['big deal', 'exactly five star']"
751,people waiting !,[]
752,"beginning appetizer , scallop incredible , to delicious chocolate souffle with rasberry mint sorbet , we delighted by taste sensation .","['rasberry mint sorbet', 'chocolate souffle', 'taste sensation', 'beginning appetizer']"
753,ou must try .,[]
754,"we left , never to return .",[]
755,consistently good japanese tapa .,"['good tapa', 'japanese tapa', 'consistently good japanese tapa']"
756,no apology week .,"['no apology week', 'apology week']"
757,"my goodness , everything fish to rice to seaweed absolutely amazing .",[]
758,"started little iffy , but is one of my favorite indian restaurant in nyc indian , so know .","['my favorite indian restaurant', 'little iffy', 'favorite restaurant', 'nyc indian', 'indian restaurant']"
759,also do great job week .,"['job week', 'great week', 'great job week']"
760,went to woman met recently .,[]
761,"dish offered unique , tasty fresh lamb sausage , sardine with biscuit , large whole shrimp to amazing pistachio ice cream best freshest ve ever .","['lamb sausage', 'whole shrimp', 'large whole shrimp', 'large shrimp', 'pistachio cream', 'ice cream', 'unique sausage', 'amazing pistachio ice cream', 'fresh sausage', 'tasty sausage', 'amazing cream']"
762,is aforementioned line .,['aforementioned line']
763,food is reliable price is moderate .,['reliable price']
764,"aside bearded , courdoroy blazer professor type nyu student he sleeping week , see strange mix of hipster , frat boy , smith type need to be told black , bitter cougar cant understand arent married yet ...","['bitter cougar', 'nyu student', 'courdoroy blazer professor', 'bearded student', 'type need', 'blazer professor', 'type student', 'strange mix', 'black cougar', 'black , bitter cougar', 'frat boy', 'smith type', 'courdoroy professor']"
765,"ambiance atmosphere great , food service could lot better .","['food service', 'great atmosphere', 'ambiance atmosphere']"
766,we always go on weekend leave extremely full satisfied .,[]
767,dont is still running .,[]
768,server really cool served u food drink smile .,"['u smile', 'drink smile', 'food drink', 'u food drink smile']"
769,we in search of food stumbled on block of indian restaurant on east sixth street .,"['indian restaurant', 'east sixth street', 'sixth street']"
770,"planet thailand always hit me , go usually sushi , is great , thai food is excellent .","['thai food', 'planet thailand']"
771,"excited to hear short term chef jason narone moved on , he truly low point of sterling track record .","['low point', 'short term', 'sterling record', 'track record', 'sterling track record']"
772,excellent experience .,['excellent experience']
773,"well worth trip , close to city hall downtown subway stop .","['well worth trip', 'city downtown', 'subway stop', 'downtown subway', 'hall downtown', 'worth trip']"
774,to share my table loud group of kid service rude an unattentive .,"['my table loud group', 'kid service', 'loud group']"
775,could want ?,[]
776,"if type of person like scared entertained , is great to go eat .",[]
777,"in , see go wrong .",[]
778,the sauce on the pizza is sooo good garlic fresh tomato skimp .,"['fresh tomato', 'the sauce', 'the pizza']"
779,"we recently decided to try , to delight , outdoor seating , perfect since my yorkie me .","['my yorkie', 'perfect seating', 'outdoor seating']"
780,"my husband mesclun , salmon , ice cream he enjoyed course .",['ice cream']
781,we told wait twenty minute would be no problem pm curtain call .,"['pm call', 'curtain call', 'no problem', 'pm curtain call']"
782,food is usually good but it certainly relaxing place to go .,[]
783,told it is open hr is good .,['open hr']
784,"super friendly knowledgable staff , fabulous bistro fare wonderful jazz brunch great live jazz chilaquiles awesome !","['friendly staff', 'wonderful brunch', 'jazz brunch', 'live jazz', 'knowledgable staff', 'great live jazz', 'fabulous bistro', 'great jazz', 'super friendly knowledgable staff']"
785,price fantastic .,['price fantastic']
786,great !,[]
787,"still , quibble bill set by pour measure of liquers courtesey of house ...","['still , quibble bill', 'pour measure', 'quibble bill', 'courtesey liquers']"
788,"table service could little attentive but a someone also work in service industry , understood busy .","['table service', 'a someone', 'service industry']"
789,"it not mind blowing , but to me , thai food never is never be .",['thai food']
790,"food good a well , considering we tried budget selection though wish pork belly ordered roasted bit longer , so fat of melt in mouth experience .","['pork belly', 'roasted bit', 'budget selection', 'mouth experience', 'good food']"
791,"although , one night we went it super cheesy , another night it less cheesy .",['super cheesy']
792,"even though it is little loud , to yell at to talk .",[]
793,"ve to sapphire twice time food fine , if not good .",['twice time']
794,it is kinda nosiy table close together but it still beautiful place to enjoy nice dinner .,"['kinda table', 'beautiful place', 'nice dinner', 'nosiy table', 'kinda nosiy table']"
795,surprisingly disappointed .,[]
796,love fact pizza taste so good is so cheap .,"['good taste', 'love fact pizza taste', 'pizza taste', 'fact pizza', 'love fact']"
797,nicky nose at bar is treat .,['nicky nose']
798,went to ruby foo work group of .,"['foo group', 'ruby group', 'ruby foo work group', 'work group']"
799,amazed we kicked of yet .,[]
800,"service prompt , friendly great .","['service prompt', 'great prompt']"
801,"eat lamb chop a delicious a , salad really nice dressed lemon extra virgnin olive oil .","['virgnin oil', 'a delicious a', 'dressed lemon', 'lamb chop', 'extra oil', 'olive oil', 'nice lemon']"
802,sushi awful !,[]
803,katz nyc original year .,"['katz nyc original year', 'katz nyc', 'original year']"
804,get an excellent meal at of many indian restaurant on nearby lexington avenue cost of one dainty dish .,"['many indian restaurant', 'one dainty dish', 'avenue cost', 'an excellent meal', 'nearby lexington avenue cost', 'many restaurant', 'excellent meal', 'indian restaurant', 'dainty dish']"
805,"pastrami sandwich like buttah pickle an icy cold beer to wash it , it pleasurable experience .","['pastrami sandwich', 'pleasurable experience', 'icy beer', 'cold beer', 'an icy cold beer']"
806,plain pizza soggy creative wild mushroom third generation fornini pizza we drenched truffle oil in middle making it soggy nothingon rest .,"['creative pizza', 'third generation', 'truffle oil', 'plain pizza', 'wild mushroom', 'nothingon rest', 'fornini pizza']"
807,"late nite omelletes not good , is no variety !","['late nite omelletes', 'good omelletes', 'nite omelletes', 'no variety']"
808,everything at sala thai is tasty well portioned .,['sala thai']
809,", complained to me small tip .",['small tip']
810,it great to pick up cheap lunch or dinner .,['cheap lunch']
811,"behind counter , two men squeezed in .",['two men']
812,great find ! !,['great find']
813,"if delivered , make mint !",[]
814,"whenever need sushi fix , mizu be quality fish great service .","['great service', 'quality fish', 'sushi fix', 'quality fish great service']"
815,"waitress sweet accomodating , not overbearing .",[]
816,went my wife we to wait table even though could see many empty not reservation sigh on .,"['reservation sigh', 'my wife', 'empty sigh', 'many sigh']"
817,really disappointed ant wanted to tell everyone not to go eat or even take food .,"['really disappointed ant', 'disappointed ant']"
818,website rating make place look wonderful but in reality it disappointing .,['website rating']
819,"despite slightly limited menu , everything prepared is done to perfection , ultra fresh work of food art .","['ultra work', ', ultra fresh work', 'slightly limited menu', 'limited menu', 'fresh work', 'food art']"
820,outdoor atmosphere of sitting on sidewalk watching world go by foot away on th avenue on cool evening wonderful .,"['outdoor atmosphere', 'cool evening', 'watching world']"
821,"large is , topping .",[]
822,"in event , is ll be sure to stop by in part of town .",[]
823,definitely go back .,[]
824,it is not worth buck .,['worth buck']
825,brick oven gallery is my pick best pizza anywhere .,"['pick pizza', 'brick oven gallery', 'oven gallery', 'my pick best pizza', 'brick gallery', 'best pizza']"
826,add to great service great food at reasonable price beginning of great evening .,"['great service', 'price beginning', 'great evening', 'reasonable price', 'great food', 'great service great food', 'reasonable price beginning']"
827,"many people , may not seem like aunthentic thai food place in nyc arent quite authentic .","['thai place', 'many people', 'food place', 'aunthentic thai food place', 'aunthentic place']"
828,"growing up in ny , eaten my share of bagel .",['my share']
829,"oh , even let me start expensive bill !",['expensive bill']
830,hearty two thumb up !,"['hearty two thumb', 'hearty thumb']"
831,scallion pancake fried dumpling nothing of ordinary .,['scallion pancake']
832,"appetizer salad fabulous , steak mouth watering pasta delicious ! !","['pasta delicious', 'steak mouth']"
833,"besides table we promised given to patron twice we actually seated , we served dish we ordered three time , received one of order minute rest of table served order undercooked , charged we on bill .","['order minute rest', 'three time', 'minute rest', 'order minute']"
834,service is top notch .,['top notch']
835,food is inconsistent .,[]
836,pretty good .,[]
837,"also special order kind of dumpling , etc .",['special order']
838,guy rock .,['guy rock']
839,chance is joke .,[]
840,pretty much full fondue appetizer .,"['fondue appetizer', 'full appetizer']"
841,be careful request extra spice .,"['careful request', 'extra spice']"
842,octopus eater floored by octopus salad .,"['octopus salad', 'octopus eater']"
843,we thought is using much of msg cooking in food .,[]
844,at rao last wed .,[]
845,tom kha soup pathetic .,['tom kha soup pathetic']
846,started bombay beer big enough two .,['bombay beer']
847,"decor is vibrant eye pleasing several semi private boths on right side of dining hall , great date .","['vibrant eye', 'dining hall', 'several semi private boths', 'semi boths', 'private boths', 'right side', 'great date', 'several boths']"
848,service quick .,['quick service']
849,tends to turn people away .,[]
850,we thought prelude to evening be like .,[]
851,"turned on to by fellow foodie friend of mine , going back regularly ever since .","['fellow foodie friend', 'fellow friend', 'foodie friend']"
852,drawback service is slow toast !,"['drawback service', 'slow toast']"
853,went an office lunch .,"['office lunch', 'an office lunch']"
854,of at heartland brewery year never disappointed !,"['heartland brewery year', 'brewery year']"
855,"everytime decide to try another on ues , get angry go to zucchero pomodori .",['zucchero pomodori']
856,sweet lassi excellent a lamb chettinad garlic naan but rasamalai forgettable .,"['sweet lassi excellent', 'chettinad garlic naan']"
857,"we ve following chef lyle food around new york year remaining classic , innovation bistro fare made u return return .","['return return', 'chef lyle food', 'chef food', 'innovation bistro fare', 'york year', 'lyle food', 'new york year', 'remaining classic']"
858,best thing tasted lambchop .,['best thing']
859,it delicious !,[]
860,spicy tuna salmon best we ve ever .,"['spicy tuna salmon', 'tuna salmon', 'spicy salmon']"
861,"even though good seafood , price high .",['good seafood']
862,"in addition , food is good price reasonable .","['reasonable price', 'good price']"
863,"upon entering , we greeted by owner , steven frederick , went of way to be gracious host .","['steven frederick', 'gracious host']"
864,"if live outside neighborhood , bother !",[]
865,going since it opened seen quality value decrease considerably .,"['quality value', 'seen quality value', 'seen value']"
866,"meat dish adorn selection , although still large number of vegetarian friendly choice .","['vegetarian friendly choice', 'meat dish adorn selection', 'friendly choice', 'meat dish', 'dish selection', 'adorn selection', 'large number']"
867,never anything like .,['never anything']
868,reasonable price .,['reasonable price']
869,bring service up notch by offerng complementary amuse bouche to table gave u small dessert celebration .,"['offerng complementary amuse bouche', 'small dessert celebration', 'small dessert', 'dessert celebration']"
870,"try crunchy tuna , it is to die .",['crunchy tuna']
871,it break bank but also wouldnt come back food .,[]
872,"in , midtown gem instantly became one of my favorite sushi restaurant in city .","['my favorite sushi restaurant', 'midtown gem', 'favorite restaurant', 'sushi restaurant']"
873,ve to joya twice never go .,[]
874,so rushing u absolutely unnecessary !,[]
875,however it is taiwanese in town .,[]
876,it is lot of fun live entertainment kind of disney type special effect .,"['entertainment kind', 'special effect', 'type special effect', 'live kind']"
877,"if re looking perfect traditional sushi , go if re looking interesting combination , try sushi of gari east side .","['gari east side', 'perfect traditional sushi', 'gari side', 'east side', 'traditional sushi', 'interesting combination', 'perfect sushi']"
878,"no refill on fountain drink , though .","['no refill', 'fountain drink']"
879,wow beer to choose .,['wow beer']
880,be careful of portion re huge .,[]
881,"steak tartare is great bet , fix it at table .","['great bet', 'steak tartare']"
882,my first time happened not to like crab croquette apt ordered happy to change it me without making no big deal .,"['crab croquette apt', 'first time', 'big deal', 'no big deal', 'my first time']"
883,great large group celebration super happy waiter entertainment of evening .,"['large celebration', 'great celebration', 'super entertainment', 'celebration entertainment', 'happy entertainment', 'waiter entertainment', 'group celebration']"
884,mention wine ?,[]
885,"plus , on wednesday night house wine is unlimited !","['wednesday night', 'wednesday night house wine', 'night wine', 'house wine']"
886,it is by far my favorite in brooklyn .,['my favorite']
887,it so crowded loud even talk to person next to .,[]
888,love pizza ..,[]
889,even my indian friend believe good tasty everything .,"['good tasty everything', 'indian friend', 'even my indian friend']"
890,"england , haru best in nyc .",[]
891,less in case .,[]
892,ruby foo is tourist trap .,"['tourist trap', 'ruby foo']"
893,ve couple of time not impressed .,[]
894,ve many time never disappointed .,['many time']
895,ciao bella,['ciao bella']
896,like saying bread come special bakery we seen buying it dowtown manhathan .,['special bakery']
897,dim sum serving bit larger used to .,['dim sum']
898,"however , in summer of , it seems management changed great big door replaced glass front ridding of dark romantic getup .","['glass front ridding', 'great door', 'dark romantic getup', 'front ridding', 'dark getup', 'great big door', 'glass front', 'romantic getup', 'big door']"
899,we go to good meal .,['good meal']
900,it much grown up compared to rest of street .,[]
901,"barbecued codfish gorgeously moist a if poached yet fabulous texture let by curiously bland seasoning spice rub might overwhelmed , however herb mix or sauce would done much to enhance .","['herb mix', 'fabulous texture', 'yet fabulous texture']"
902,we treated attitude ever since moment we stepped !,[]
903,"dinner , take date to huge dance floor , probably one of biggest ll see in ny .","['dance floor', 'huge floor', 'huge dance floor']"
904,taj mahal offeres gret value great food .,"['gret value great food', 'gret value', 'great food']"
905,chef owner changed ? ?,['chef owner']
906,my boyfriend recently an early dinner at artisanal satisfied experience .,"['satisfied experience', 'early dinner', 'artisanal satisfied experience', 'my boyfriend', 'artisanal experience', 'an early dinner']"
907,absolutely loved .,[]
908,wish lived a would eat at a often a possible !,[]
909,"but ever order bacon late at nite either platter or in sandwich , matter take a it is morning frying turn hard almost like bacos , hurt my molar .","['either platter', 'my molar']"
910,"outstanding bagel , but get pay .",['outstanding bagel']
911,"pizza pizza in nyc not additional topping crust taste like best , freshly baked bread !","['baked bread', 'crust taste', 'additional taste', 'freshly baked bread', 'topping crust', 'pizza pizza']"
912,"if re in town , it worth searching another .",[]
913,tried various slice joint around village but is by far best one .,"['various slice joint', 'slice joint', 'various joint']"
914,"found it on cold night , perfect spot to warm up .","['cold night', 'perfect spot']"
915,even section in menu called american chinese food !,"['even section', 'american food', 'american chinese food', 'chinese food']"
916,"service warm attentive , beef carpaachio exellent huge portion pasta fresh well prepared .","['warm attentive', 'huge portion', 'service warm attentive', 'portion pasta', 'fresh pasta']"
917,kalbi nebbiolo do work together .,['kalbi nebbiolo']
918,"best italian food ever italian , mean alot .","['mean alot', 'italian food']"
919,recommend scopa to of my friend to go wonderful italian food .,"['wonderful food', 'my friend', 'wonderful italian food', 'italian food']"
920,located at end of magnificent block .,['magnificent block']
921,"is not worth time , effort , or money to say least .",[]
922,"looking around , saw room full of new yorkers enjoying real meal in real , not clubhouse of fabulous trying to be seen .","['real meal', 'full room', 'real clubhouse', 'real , not clubhouse', 'new yorkers']"
923,keep up good work guy !,"['work guy', 'good guy', 'good work guy']"
924,hurley is terrific !,[]
925,walk around tray of dim sum .,['dim sum']
926,took my sister attending show one evening .,"['my sister', 'one evening']"
927,"great bar , gorgeous bartender ve ever seen specifically blond lady .","['gorgeous bartender', 'great bar', 'blond lady', 'specifically blond lady']"
928,we planning to get dessert but waitress basically bill at u we chance to order .,[]
929,really .,[]
930,really loved different inovated touch cheff give to food .,"['different cheff', 'different inovated touch cheff', 'inovated touch', 'touch cheff']"
931,friend not arrived yet .,[]
932,came cooked cheese almost non existant .,['cooked cheese']
933,"terrific meal , server guided u toward nice wine in price range , instead of allowing u to purchase similarly priced wine a good .","['guided u', 'terrific meal', 'a good', 'nice wine', 'price range', 'server guided u']"
934,"svc be bit rude at time , esp if big group , but overall is must !",['big group']
935,"my husband thougt it would be great to go to jekyll hyde pub anniversary , to surprise it fantastic .","['my husband', 'hyde anniversary', 'jekyll hyde pub anniversary', 'pub anniversary']"
936,never leave feeling unwelcome or impressed .,[]
937,"food is good , especially basic dish , drink delicious .","['good dish', 'basic dish']"
938,but main hit whole grilled fish .,"['grilled fish', 'main fish']"
939,"tuna tartare sake , mushroom ravioli pinot noir , chocolate sampler dessert wine .","['dessert wine', 'sampler wine', 'chocolate sampler dessert wine', 'tuna tartare']"
940,on hot day it fabulous to stop in enjoy lunch .,"['hot day', 'enjoy lunch']"
941,food is delicious beautifully prepared along friendly personable service .,"['friendly service', 'personable service', 'friendly personable service']"
942,usually go later at night get work so to deal crowd or line .,[]
943,pizza is consistently good .,[]
944,we great tiem watching show character ar food we looking .,"['character food', 'show character', 'ar food', 'great tiem', 'show character ar food']"
945,"try by waiter to take it away we even looked at it yet , we full beer yet to drink , manager approached told u needed table people reservation .","['full beer', 'needed people', 'needed table people reservation', 'people reservation', 'table people']"
946,recomend it dinner !,[]
947,sauce watery food much flavor .,"['much flavor', 'watery food']"
948,my husband enjoy sangria .,['my husband']
949,"but last night , spice grill is eating indian cuisine .","['last night', 'indian cuisine', 'spice grill']"
950,we opted pasta dish served timely fresh .,['pasta dish']
951,"first wrong bread came appetizer , tried to order second glass of wine my main course ...","['first bread', 'second glass', 'main course', 'my main course', 'wrong bread', 'first wrong bread']"
952,"not sure previous reviewer , lonk , dined , but saul is in great neighborhood great food !","['great neighborhood', 'sure reviewer', 'not sure previous reviewer', 'great food', 'previous reviewer']"
953,"in an area sadly lacking in decent thai food , is one of best spot .","['best spot', 'thai food', 'an area', 'decent thai food', 'decent food']"
954,tell herky sent get free confused look waiter .,"['free waiter', 'look waiter', 'free confused look waiter', 'confused waiter']"
955,make reservation but expect to be delayed minute a hosting staff difficulty seating guest arrived reservation probably lot of walk in so close to time square .,"['a hosting staff difficulty', 'arrived reservation', 'staff difficulty', 'guest arrived reservation', 'hosting difficulty']"
956,food average or including surprising tasty dish .,"['surprising dish', 'surprising tasty dish', 'tasty dish', 'food average']"
957,seem to an emphasis on special or fresh ingredient to me is necessary good thai .,"['special or fresh ingredient', 'an emphasis', 'necessary good thai', 'necessary thai', 'good thai', 'special ingredient']"
958,apetizers food,[]
959,noodle and rice dish taste great .,['rice dish']
960,food a good a ever .,[]
961,"crust is thin , ingredient fresh staff is friendly .","['thin staff', 'fresh staff', 'ingredient staff']"
962,friend thank introducing to gem !,[]
963,also little expensive average bagel .,"['average bagel', 'little bagel', 'expensive bagel']"
964,"food undercooked sauce watery , vegetable raw .","['undercooked sauce', 'food undercooked sauce']"
965,fried clam enough kick to to make em worth eating .,[]
966,sauce used also not exciting .,[]
967,secret is lunch menu offer complimentary appetizer every entree ordered .,"['complimentary appetizer', 'lunch menu']"
968,absolutely love ! !,[]
969,rice poor quality cooked so badly it hard .,"['rice poor quality', 'poor quality']"
970,we champagne caviar felt like princess !,['champagne caviar']
971,shrimp scampi excellent antipasti plentiful .,"['excellent antipasti', 'shrimp scampi excellent antipasti', 'scampi antipasti']"
972,am surprised to say least find practice not worth effort .,"['not worth effort', 'worth effort']"
973,"my dessert came , candle in it not anyone asked one but waiter must seen me opening my birthday card gift , said he knew it special occassion of sort .","['card gift', 'my dessert', 'birthday card', 'my birthday card gift', 'not anyone', 'special occassion']"
974,"got piece dim sum combo , every bite of great .","['dim combo', 'sum combo', 'piece combo', 'every bite', 'piece dim sum combo']"
975,vietnamese restaurant in chinatown area forget .,"['vietnamese restaurant', 'chinatown area']"
976,is also limited seating be substantial wait in getting food at peak time .,"['substantial wait', 'peak time', 'limited seating']"
977,"if it quick martini at bar recommend jeffery or mind blowing roast chicken , go to village !",['roast chicken']
978,no thanks ! !,['no thanks']
979,"long wait table outside , but it little hot in sun anyway so insde table nice .","['anyway so insde table', 'insde table', 'nice table']"
980,would definently recommend .,[]
981,price wonderfully low .,['low price']
982,if like spicy food get chicken vindaloo .,"['chicken vindaloo', 'spicy food']"
983,love !,[]
984,never disappointed but true strength lay in amazingly delicious cheap lunch special .,"['true strength', 'cheap lunch']"
985,"so much usual bar food , go to enjoy menu sampling one of hand crafted beer .","['crafted beer', 'bar food', 'usual food', 'hand crafted beer']"
986,"big disappointment , around .",['big disappointment']
987,absolutely delicious .,[]
988,no free drink .,"['free drink', 'no free drink']"
989,would say fine tasty but heaviness on my stomach someting not mention or undermine .,"['fine tasty', 'my stomach']"
990,is my first time writing review food service excellent .,"['review food service', 'review service', 'first time', 'food service', 'my first time']"
991,definitely highly not recommended .,[]
992,"keep capex to minimum , do put cash bagel , among best in city .",['cash bagel']
993,huge group my birthday we well taken care of .,['huge group']
994,two star chef left quite time ago to open .,"['two star chef', 'star chef', 'quite time']"
995,waste money on decor .,[]
996,also back garden open in summer cute french outdoor seating could ask ?,"['french seating', 'outdoor seating', 'cute seating']"
997,"go to corned indian , little india strip along east st rule supreme !","['little strip', 'east st rule supreme', ', little india strip', 'india strip']"
998,never eaten piece of relatively good nigiri .,[]
999,"given incredible architecture surrounding it , place no character .","['no character', 'incredible architecture']"
1000,call it an italian dinner .,"['italian dinner', 'an italian dinner']"
1001,my first time my gf month anniversary .,"['month anniversary', 'first time', 'my first time', 'my gf month anniversary', 'gf anniversary']"
1002,"place is not hotspot hangout , drink unique pack lot of bang buck .","['bang buck', 'unique pack lot', 'unique lot', 'pack lot', 'hotspot hangout']"
1003,walked by place eon finally went thanks to girl night .,"['place eon', 'girl night']"
1004,frequented ino several year food remains excellent .,"['several year food', 'year food', 'several year']"
1005,"eggplant is so delicate , sweet tender !","['sweet tender', 'delicate tender']"
1006,pray it stay open forever .,[]
1007,"bite of food at kai indeed delicious , fresh , elegant .","['delicious bite', 'elegant bite']"
1008,food excellent considering quality of food in moderately priced restaurant is mediocre slightly pricey well worth it .,"['priced restaurant', 'excellent food', 'moderately priced restaurant']"
1009,"if want to save money , go .",[]
1010,my friend got mushroom pizza tasted better .,"['my friend', 'mushroom pizza']"
1011,"cod with paella spicy and filling , big eater and could eat half my boyfriend classic fish and chip , big serving at least piece of fish and basketful of fry .","['paella spicy', 'at least piece', 'classic fish', 'big fish', 'big eater', ', big eater', 'least piece']"
1012,"it shame nice , convenient place like pink pony be so ruined by lousy service .","['nice , convenient place', 'nice place', 'convenient place', 'pink pony', 'lousy service']"
1013,is first time citysearch call it right .,['first time']
1014,pas on calamari .,[]
1015,"porcini mushroom pasta special tasteless , so seafood tagliatelle .","['mushroom tasteless', 'seafood tagliatelle', 'special tasteless', 'porcini mushroom']"
1016,try spicy wonton salt pepper shrimp .,"['salt pepper', 'spicy shrimp', 'pepper shrimp', 'wonton pepper']"
1017,food portion really large .,"['food portion', 'large portion']"
1018,fry yummy .,[]
1019,"friendly informative staff , attentive prompt raw bar service .","['friendly staff', 'friendly informative staff', 'informative staff', 'attentive service', 'raw bar', 'prompt service', 'bar service']"
1020,best taiwanese food in ny !,"['best taiwanese food', 'best food', 'taiwanese food']"
1021,eaten at many pizza place around nyc is hand worst .,"['many place', 'pizza place', 'many pizza place']"
1022,is great stop great food .,['great food']
1023,pasta fantastic homemade lasagna is of best in city .,['pasta fantastic homemade lasagna']
1024,?,[]
1025,fantastic !,[]
1026,"dry disgusting , even finish my first piece .","['first piece', 'my first piece', 'dry disgusting']"
1027,highly recommended first date .,"['first date', 'highly recommended first date', 'recommended date']"
1028,"we laughed he finally offered u dessert menu we left percent tip , generous , feel .","['dessert menu', 'percent tip']"
1029,price way to high get .,['price way']
1030,"but people sichuan die it chongqing hot pot , chongqing biggest city of sichuan , became an independent province .","['independent province', 'people sichuan', 'an independent province', 'biggest city', 'hot pot']"
1031,"skip baroanda street eurotrashy , snooty expensive check !","['eurotrashy check', 'baroanda street', 'expensive check']"
1032,skip go to one in soho .,[]
1033,staff ignored my friend entire time we .,"['my friend', 'entire time']"
1034,"yet paired rude service , would never recommend anyone interested in carrying kind of conversation .",['rude service']
1035,"went to areo on sunday afternoon four of my girlfriend , spent three enjoyable hour .","['my girlfriend', 'three enjoyable hour', 'sunday afternoon', 'enjoyable hour']"
1036,"in house lady dj on saturday night outrageously good taste in music , moreover , take request .","['saturday night', 'good taste', 'outrageously good taste', 'house lady']"
1037,"need at least three roll to be full , at least . !",['at least three roll']
1038,anyone ever dined at thai is in huge disappointment .,['huge disappointment']
1039,"of it simply amazing , unique tasty best of it break bank .",[]
1040,"great wine list , reasonably priced . sara","['great wine list', 'wine list', 'great list']"
1041,hot dog cold in middle bun stale .,"['hot dog', 'middle bun']"
1042,"food excellent , it cheap though not extremely expensive either .","['food excellent , it']"
1043,beef noodle soup is good a well .,"['beef noodle soup', 'noodle soup', 'beef soup']"
1044,so sad to read bad review got !,['bad review']
1045,delivery service is great .,['delivery service']
1046,"food dazzling flavor overwhelm palate , truly embracing beauty of authentic thai cuisine .","['thai cuisine', 'authentic thai cuisine', 'flavor overwhelm', 'overwhelm palate', 'dazzling palate', 'authentic cuisine']"
1047,recieved prompt service smile .,"['service smile', 'prompt smile', 'prompt service smile']"
1048,pray to food god to make good pizza like vt .,"['food god', 'good pizza']"
1049,place quiet delightful .,[]
1050,molto bene !,['molto bene']
1051,.the best ve found outside of chinatown master .,['chinatown master']
1052,amazing !,[]
1053,avoid place !,[]
1054,food is diamond in rough food is delicious homemade perfect balance of herb tomato .,"['homemade balance', 'delicious balance', 'herb tomato', 'rough food', 'perfect balance', 'delicious homemade perfect balance']"
1055,must try !,[]
1056,"a much a like food , bring to go back .",['like food']
1057,it looked like shredded cheese partly done still in strip .,['shredded cheese']
1058,price ambience especially great considering it in west village .,"['west village', 'price ambience', 'great ambience']"
1059,soup is pretty good .,[]
1060,it is so easy to get reservation at top in nyc week notice .,"['nyc notice', 'week notice', 'nyc week notice']"
1061,never better enjoyed humble root vegetable or mushroom consomme chef accomplishes without fat .,"['consomme chef', 'humble chef']"
1062,"if go to roth try to be served by mike , he is great ! !",[]
1063,"based on visit month ago , returned week christmas hugely disappointed .","['returned week christmas', 'returned week']"
1064,went on friend reccomendation .,['friend reccomendation']
1065,"not food , not ambiance , not service , agree previous review wait wait , wait staff rude get in looking to get right .","['previous review', 'staff rude', 'not ambiance', 'not food', 'review wait', 'not service']"
1066,"love es bagel , but live on west side , so often go to murray convenience .",['west side']
