id,text,aspects,sentence
610,wonderful at holiday time .,['holiday time'],wonderful at holiday time .
611,really large portion .,"['really large portion', 'large portion']",really large portion .
612,is lot of fun .,[],is lot of fun .
613,is great thai friendly staff .,"['great thai friendly staff', 'friendly staff', 'great staff', 'thai staff']",is great thai friendly staff .
614,"eaten at ginger house several time , it always good .","['ginger house', 'several time']","eaten at ginger house several time , it always good ."
615,ordered smoked salmon and roe appetizer and it flavor .,"['smoked salmon', 'roe appetizer']",ordered smoked salmon and roe appetizer and it flavor .
616,"we went lunch couple of week ago on saturday , thoroughly impressed food .",['lunch couple'],"we went lunch couple of week ago on saturday , thoroughly impressed food ."
617,"recommend garlic shrimp , okra bindi , anything lamb .","['okra bindi', 'garlic shrimp', 'anything lamb']","recommend garlic shrimp , okra bindi , anything lamb ."
618,"a japanese native , ve lived in tristate area year , but so amazed at .","['japanese native', 'tristate year', 'tristate area year', 'a japanese native', 'area year']","a japanese native , ve lived in tristate area year , but so amazed at ."
619,"to give an idea of good we thought it , we ended up going to ping three weekend in row ! !",['an idea'],"to give an idea of good we thought it , we ended up going to ping three weekend in row ! !"
620,"a we leaving , couple standing by door said to another waiter , we re not in hurry .","['a we', 'another waiter']","a we leaving , couple standing by door said to another waiter , we re not in hurry ."
621,"menu impressive selection ranging burger , to steak , to escargot .","['impressive selection', 'impressive selection ranging burger', 'selection burger', 'ranging burger']","menu impressive selection ranging burger , to steak , to escargot ."
622,"in fact , two people could really share one plate .","['two people', 'one plate']","in fact , two people could really share one plate ."
623,food is great authentic .,[],food is great authentic .
624,repeat visit we ll definitely be back .,['repeat visit'],repeat visit we ll definitely be back .
625,happy hour !,['happy hour'],happy hour !
626,good casual dinner jean sneaker .,['casual dinner'],good casual dinner jean sneaker .
627,love yuka .,[],love yuka .
628,"anyway , food is good , price is right decent wine list .","['right decent wine list', 'decent list', 'wine list', 'right list']","anyway , food is good , price is right decent wine list ."
629,"go , go , hurry , everyone find it .",[],"go , go , hurry , everyone find it ."
630,price higher to in chicken tikka marsala is quite good .,"['chicken tikka', 'higher price']",price higher to in chicken tikka marsala is quite good .
631,am bringing my whole family back next time .,"['whole family', 'next time', 'my whole family']",am bringing my whole family back next time .
632,many different style of pizza amazing .,"['different style', 'many style', 'many different style']",many different style of pizza amazing .
633,photo of in web site way better real look .,"['better look', 'real look', 'web site']",photo of in web site way better real look .
634,food lousy sweet or salty portion tiny .,"['lousy portion', 'tiny portion', 'sweet portion']",food lousy sweet or salty portion tiny .
635,but coconut rice good .,"['but coconut rice good', 'coconut rice']",but coconut rice good .
636,it took minute to bring appetizer .,[],it took minute to bring appetizer .
637,guaranteeed delight !,[],guaranteeed delight !
638,coming to neighborhood year .,['neighborhood year'],coming to neighborhood year .
639,overall would recommend it go back .,[],overall would recommend it go back .
640,food great .,['great food'],food great .
641,pair food excellent beer on tap or well priced wine list .,"['priced list', 'well priced wine list', 'excellent beer', 'food excellent beer', 'wine list']",pair food excellent beer on tap or well priced wine list .
642,if like music blasted system isnt great if want to pay at least dollar bottle minimun ll love it .,"['dollar minimun', 'bottle minimun', 'music blasted system', 'blasted system']",if like music blasted system isnt great if want to pay at least dollar bottle minimun ll love it .
643,of my co worker stated food amazing wondered heard .,"['my co worker', 'amazing food', 'co worker']",of my co worker stated food amazing wondered heard .
644,"anyway , is last time cross williamsburg .","['last time', 'cross williamsburg']","anyway , is last time cross williamsburg ."
645,metrazur beautiful spot overlooking main terminal .,"['metrazur spot', 'main terminal', 'metrazur beautiful spot', 'beautiful spot']",metrazur beautiful spot overlooking main terminal .
646,friendly staff actually let enjoy meal company re .,"['friendly staff', 'meal company']",friendly staff actually let enjoy meal company re .
647,"feeling stressed by noise congestion around my office , head cafe st. bart .","['my office', 'noise congestion', 'head cafe st. bart']","feeling stressed by noise congestion around my office , head cafe st. bart ."
648,guess soul ad launch big modeling career .,"['big career', 'big modeling career', 'soul ad', 'modeling career']",guess soul ad launch big modeling career .
649,is rather small but we lucky to get table quickly .,[],is rather small but we lucky to get table quickly .
650,"besides , we on vacation !",[],"besides , we on vacation !"
651,love cozy around way rest .,['way rest'],love cozy around way rest .
652,"quality of food is excellent price is cheap , stick to pork , fish , chicken , lamb vegetable .","['excellent price', 'lamb vegetable']","quality of food is excellent price is cheap , stick to pork , fish , chicken , lamb vegetable ."
653,leave without trying one night in tokyo .,[],leave without trying one night in tokyo .
654,save time trouble skip one !,[],save time trouble skip one !
655,is my favorite italian in of new york city .,"['new york city', 'favorite italian', 'my favorite italian']",is my favorite italian in of new york city .
656,"place is little tight on cold day , seating by entranceway be pretty drafty .",['cold day'],"place is little tight on cold day , seating by entranceway be pretty drafty ."
657,appetizing is excellent a good a zabars barney greengrass at reasonable price if bought by pound .,"['zabars greengrass', 'good greengrass', 'barney greengrass', 'reasonable price']",appetizing is excellent a good a zabars barney greengrass at reasonable price if bought by pound .
658,"but , big bun .","['big bun', 'but , big bun']","but , big bun ."
659,"food is fresh , delicious , reasonably priced .",[],"food is fresh , delicious , reasonably priced ."
660,raga stand an interesting fusion of french and indian cooking .,"['an interesting fusion', 'interesting fusion', 'french cooking', 'french and indian cooking']",raga stand an interesting fusion of french and indian cooking .
661,"tip skip turnip cake , roast pork bun egg custard .","['roast bun', 'turnip cake', 'egg custard', 'pork bun', 'bun custard']","tip skip turnip cake , roast pork bun egg custard ."
662,bagel fabulous .,['bagel fabulous'],bagel fabulous .
663,"oh yes , lie on the phone , claiming seating in the garden , of course the seat not available .","['the garden', 'the phone']","oh yes , lie on the phone , claiming seating in the garden , of course the seat not available ."
664,although do typical kind of water would like question service good overall relaxing to place to eat .,"['typical kind', 'question service', 'good relaxing', 'overall relaxing']",although do typical kind of water would like question service good overall relaxing to place to eat .
665,"food good , great deal , place self great .","['great deal', 'good food', ', great deal']","food good , great deal , place self great ."
666,food option rule .,"['food option', 'option rule', 'food option rule']",food option rule .
667,great choice at cost great deal .,"['cost great deal', 'great deal', 'great choice']",great choice at cost great deal .
668,"anybody like must be different planet , greasy , dry tasteless complimentary .","['tasteless complimentary', 'dry complimentary', 'different planet', 'dry tasteless complimentary']","anybody like must be different planet , greasy , dry tasteless complimentary ."
669,"we ate in march , ordered pre theatre course dinner wine flight .","['dinner flight', 'course flight', 'pre flight', 'wine flight', 'theatre course']","we ate in march , ordered pre theatre course dinner wine flight ."
670,definately check it ! !,[],definately check it ! !
671,"probably much busier lunch , it seldom crowded dinner close to downtown .","['busier lunch', 'close dinner']","probably much busier lunch , it seldom crowded dinner close to downtown ."
672,"calzones horrific , bad , vomit inducing , yuck .","[', yuck']","calzones horrific , bad , vomit inducing , yuck ."
673,it take forever to get drink almost always forget to bring something although dont forget to charge it .,[],it take forever to get drink almost always forget to bring something although dont forget to charge it .
674,place is beautiful bar scene seems to be happening .,"['beautiful scene', 'beautiful bar scene', 'bar scene']",place is beautiful bar scene seems to be happening .
675,"saturday , nov. th group work come in people staff amazing to accomodate u .","['people staff', 'th work', 'nov. th group work', 'amazing staff', 'group work']","saturday , nov. th group work come in people staff amazing to accomodate u ."
676,"good spread , great beverage selection bagel really tasty .","['selection bagel', 'good spread', 'beverage selection', 'great bagel', 'great beverage selection bagel']","good spread , great beverage selection bagel really tasty ."
677,"first , waiter served u neglected to fill u in on special , would chosen known .",[],"first , waiter served u neglected to fill u in on special , would chosen known ."
678,we be back .,[],we be back .
679,"also , top meal delicious perfect slice of tiramisu .","['delicious slice', 'perfect slice', 'top meal']","also , top meal delicious perfect slice of tiramisu ."
680,it seems like is local like people working liked it .,[],it seems like is local like people working liked it .
681,check secret back room .,"['secret room', 'secret back room', 'back room']",check secret back room .
682,"it also attached to angel share , is cool , romantic bar ...","['cool , romantic bar', 'angel share', 'cool bar', 'romantic bar']","it also attached to angel share , is cool , romantic bar ..."
683,"authentic food real service , not rush get sometimes try to push door .","['authentic service', 'not rush', 'authentic food real service', 'real service']","authentic food real service , not rush get sometimes try to push door ."
684,stick to gulab jamun .,[],stick to gulab jamun .
685,"am amazed by poor review find to be standout italian in an area flooded italian great price , great atmosphere , good service wonderful wine list .","['good service', 'wonderful list', 'great price', 'poor review', 'italian great price', 'an area', 'italian price', 'great atmosphere', 'wine list']","am amazed by poor review find to be standout italian in an area flooded italian great price , great atmosphere , good service wonderful wine list ."
686,back to back diner at table behind me wait staff to hoist tray head a squeezed past u .,['tray head'],back to back diner at table behind me wait staff to hoist tray head a squeezed past u .
687,theater block away we delicious meal in beautiful room .,"['delicious meal', 'beautiful room', 'theater block']",theater block away we delicious meal in beautiful room .
688,"little leary mary at first it small , crowded usually to wait on line but glad finally tried it .","['leary mary', 'little leary mary', 'little mary']","little leary mary at first it small , crowded usually to wait on line but glad finally tried it ."
689,we not dissappointed in least bit by little gem .,['little gem'],we not dissappointed in least bit by little gem .
690,also inexpensive .,[],also inexpensive .
691,"we ve eaten in , but we ordered many time dinner .","['many time', 'time dinner', 'many time dinner']","we ve eaten in , but we ordered many time dinner ."
692,got enough reason to keep coming back ! !,['enough reason'],got enough reason to keep coming back ! !
693,by far is chinese dessert know in ny or anywhere close in northeastern america serf dessert with frog jelly in couple of variety pig foot ginger simmered in black vinegar .,"['northeastern america serf dessert', 'variety pig foot ginger', 'variety foot', 'black vinegar', 'chinese dessert', 'pig foot', 'foot ginger']",by far is chinese dessert know in ny or anywhere close in northeastern america serf dessert with frog jelly in couple of variety pig foot ginger simmered in black vinegar .
694,food is great reasonably priced .,[],food is great reasonably priced .
695,character really make an enjoyable experience .,"['an enjoyable experience', 'enjoyable experience']",character really make an enjoyable experience .
696,would definitely recommend sea if like thai cuisine !,['thai cuisine'],would definitely recommend sea if like thai cuisine !
697,"year host , vittorio , crew , always treated me a family although business not so little gem , it amazing he even able to remember consistent but not so frequent visitor .","['little gem', 'not so little gem', 'year host', 'frequent visitor', 'a family', 'consistent visitor']","year host , vittorio , crew , always treated me a family although business not so little gem , it amazing he even able to remember consistent but not so frequent visitor ."
698,"restuarant is not large , but seems to several round table to accomodate large group hoping to save buck to eat authentic taiwanese .","['several round table', 'authentic taiwanese', 'several table', 'round table', 'large group']","restuarant is not large , but seems to several round table to accomodate large group hoping to save buck to eat authentic taiwanese ."
699,"my husband said he could ve eaten several , portion fine me he even exclaimed french fry best he .","['my husband', 'fry best he']","my husband said he could ve eaten several , portion fine me he even exclaimed french fry best he ."
700,not go wrong .,[],not go wrong .
701,"it is type of to run old friend late , raucus dinner .","['old friend', 'raucus dinner', 'late dinner']","it is type of to run old friend late , raucus dinner ."
702,"food is delicious special to regular menu fare , dish never disappointment .","['regular menu fare', 'regular fare', 'menu fare']","food is delicious special to regular menu fare , dish never disappointment ."
703,price in line .,[],price in line .
704,"combination of fresh tomato sauce , fresh mozz cheese , basil dough make imported flour , make is one of better pizza in ny .","['tomato sauce', 'better pizza', 'fresh cheese', 'basil dough', 'fresh mozz cheese', 'mozz cheese', 'imported flour', 'fresh sauce', 'fresh tomato sauce']","combination of fresh tomato sauce , fresh mozz cheese , basil dough make imported flour , make is one of better pizza in ny ."
705,food is prepared quickly efficiently .,[],food is prepared quickly efficiently .
706,to shell small fortune ?,['small fortune'],to shell small fortune ?
707,"of new to indian food , try paneer roll , it is piece of heaven .","['indian food', 'paneer roll']","of new to indian food , try paneer roll , it is piece of heaven ."
708,food looked appetizing delicious since it came on variety of fancy plate .,['fancy plate'],food looked appetizing delicious since it came on variety of fancy plate .
709,fresh mozzerella slice plain cheese slice phenomenal .,"['fresh slice', 'plain slice', 'cheese slice', 'mozzerella slice']",fresh mozzerella slice plain cheese slice phenomenal .
710,tried literally every on curry row .,['curry row'],tried literally every on curry row .
711,"food is terrible overall , would to say avoid at cost .",[],"food is terrible overall , would to say avoid at cost ."
712,"ve to monster sushi twice , th st , rd st one number of time .",['rd st'],"ve to monster sushi twice , th st , rd st one number of time ."
713,"unfortunately , food not something to get worked up .",[],"unfortunately , food not something to get worked up ."
714,"it constantly open , catering to pakistani cabby lined up on crosby st. , so turnover food expect i.e. , surprisingly fresh .","['crosby st', 'turnover food', 'pakistani cabby']","it constantly open , catering to pakistani cabby lined up on crosby st. , so turnover food expect i.e. , surprisingly fresh ."
715,filet mignon with garlic mash .,"['filet mignon', 'garlic mash']",filet mignon with garlic mash .
716,"went at pm specifically pre theater menu . roasted tomato soup with chevre , steak frites , creme brulee it marvelous .","['roasted soup', 'steak frites', 'creme brulee', 'tomato soup', 'roasted tomato soup', 'theater menu', 'marvelous soup']","went at pm specifically pre theater menu . roasted tomato soup with chevre , steak frites , creme brulee it marvelous ."
717,"waitstaff attentive , polite helpful an impressive feat in close quarter .","['impressive feat', 'close quarter']","waitstaff attentive , polite helpful an impressive feat in close quarter ."
718,go inside want to leave .,[],go inside want to leave .
719,loving bringing friend do so every chance get .,['every chance'],loving bringing friend do so every chance get .
720,"bread at beginning is super tasty and make want pizza is delicious and come in personal size , however be warned peter favourite pizza with prosciutto and baby arugula is actually margarite pizza with cold prosciutto and baby arugula on top , like salad .","['peter favourite pizza', 'margarite pizza', 'personal size', 'favourite pizza', 'cold prosciutto', 'baby arugula', 'want pizza']","bread at beginning is super tasty and make want pizza is delicious and come in personal size , however be warned peter favourite pizza with prosciutto and baby arugula is actually margarite pizza with cold prosciutto and baby arugula on top , like salad ."
721,"yes , price high , but felt it worth it .",[],"yes , price high , but felt it worth it ."
722,"large selection of bruschettas , panini , tramezzinis keep palate stagnating .",['large selection'],"large selection of bruschettas , panini , tramezzinis keep palate stagnating ."
723,"always found waiter go of way to be helpful , despite fact often busy lot of diner .",['busy lot'],"always found waiter go of way to be helpful , despite fact often busy lot of diner ."
724,"classical fare , chef given new life to an old cuisine really innovative tasty dish genuinely indian without heavy or old burn out .","['old cuisine', 'tasty dish', 'indian dish', 'an old cuisine', 'heavy or old burn', 'classical fare', 'innovative dish', 'heavy burn', 'new life', 'really innovative tasty dish']","classical fare , chef given new life to an old cuisine really innovative tasty dish genuinely indian without heavy or old burn out ."
725,owner truly caters to need .,[],owner truly caters to need .
726,he take real pride in food business .,"['food business', 'real pride']",he take real pride in food business .
727,every time in new york make it point to visit saul on smith street .,"['smith street', 'new york']",every time in new york make it point to visit saul on smith street .
728,my boyfriend went to celebrate my birthday night say is it magnificent .,"['birthday night', 'my birthday night', 'my boyfriend']",my boyfriend went to celebrate my birthday night say is it magnificent .
729,"so if want nice , enjoyable meal at montparnasse , go early pre theater prix fixe .","['nice meal', 'enjoyable meal', 'nice , enjoyable meal']","so if want nice , enjoyable meal at montparnasse , go early pre theater prix fixe ."
730,"year , it always provided pleasurable dining experience quality food wine .","['food wine', 'quality food', 'dining experience', 'pleasurable wine', 'experience quality']","year , it always provided pleasurable dining experience quality food wine ."
731,would go back tho .,[],would go back tho .
732,"photobook menu cute touch , certainly helped my group pick fried chicken , pork chop , noodle dish we ordered .","['noodle dish', 'fried chicken', 'cute touch', 'pork chop', 'my group']","photobook menu cute touch , certainly helped my group pick fried chicken , pork chop , noodle dish we ordered ."
733,large two people but nothing left .,"['large two people', 'large people']",large two people but nothing left .
734,not imagine better indian food in of city .,"['indian food', 'better indian food', 'better food']",not imagine better indian food in of city .
735,great romantic place date try to get corner booth table little privacy to sit close ! .,"['corner booth table', 'little privacy', 'corner booth', 'great date', 'booth table', 'great romantic place date', 'romantic date', 'place date']",great romantic place date try to get corner booth table little privacy to sit close ! .
736,pleasant surprise .,['pleasant surprise'],pleasant surprise .
737,asked an open faced cheese sandwich manager basically told me to take my business elsewhere !,"['my business', 'faced manager', 'cheese manager', 'open manager', 'sandwich manager']",asked an open faced cheese sandwich manager basically told me to take my business elsewhere !
738,if mind noise go to chart house .,"['mind noise', 'chart house']",if mind noise go to chart house .
739,we got of it back at home u .,['home u'],we got of it back at home u .
740,get pm .,[],get pm .
741,good bread a well .,['good bread'],good bread a well .
742,"if happens , ask real naan .",['real naan'],"if happens , ask real naan ."
743,we fan of half price saturday night option inedible squid recent visit .,"['squid visit', 'squid recent visit', 'saturday night', 'half price', 'night option', 'saturday night option', 'recent visit']",we fan of half price saturday night option inedible squid recent visit .
744,"so , if yo really care is sittingnext to , is inch away , would say try it .",[],"so , if yo really care is sittingnext to , is inch away , would say try it ."
745,"pizza is terrific , a is homemade pasta .",['homemade pasta'],"pizza is terrific , a is homemade pasta ."
746,definitely neighborhood favorite .,[],definitely neighborhood favorite .
747,is wonderful on stand point especially value ofr money .,"['value ofr', 'stand point', 'ofr money']",is wonderful on stand point especially value ofr money .
748,my first encounter happened one friday evening friend .,"['first encounter', 'friday evening', 'evening friend', 'my first encounter']",my first encounter happened one friday evening friend .
749,example is soup oz dollar mushroom oz .,['oz dollar'],example is soup oz dollar mushroom oz .
750,"service is not exactly five star , but thats not really big deal .","['exactly five star', 'big deal']","service is not exactly five star , but thats not really big deal ."
751,people waiting !,[],people waiting !
752,"beginning appetizer , scallop incredible , to delicious chocolate souffle with rasberry mint sorbet , we delighted by taste sensation .","['chocolate souffle', 'rasberry mint sorbet', 'delicious souffle', 'taste sensation', 'delicious chocolate souffle']","beginning appetizer , scallop incredible , to delicious chocolate souffle with rasberry mint sorbet , we delighted by taste sensation ."
753,ou must try .,[],ou must try .
754,"we left , never to return .",[],"we left , never to return ."
755,consistently good japanese tapa .,[],consistently good japanese tapa .
756,no apology week .,"['no apology week', 'apology week']",no apology week .
757,"my goodness , everything fish to rice to seaweed absolutely amazing .",['my goodness'],"my goodness , everything fish to rice to seaweed absolutely amazing ."
758,"started little iffy , but is one of my favorite indian restaurant in nyc indian , so know .","['my favorite indian restaurant', 'indian restaurant', 'favorite restaurant', 'nyc indian']","started little iffy , but is one of my favorite indian restaurant in nyc indian , so know ."
759,also do great job week .,"['great job week', 'great week', 'job week']",also do great job week .
760,went to woman met recently .,[],went to woman met recently .
761,"dish offered unique , tasty fresh lamb sausage , sardine with biscuit , large whole shrimp to amazing pistachio ice cream best freshest ve ever .","['lamb sausage', 'fresh lamb', 'amazing pistachio ice cream', 'tasty sausage', 'large shrimp', 'ice cream', 'unique sausage', 'pistachio cream', 'whole shrimp', 'amazing cream', 'large whole shrimp']","dish offered unique , tasty fresh lamb sausage , sardine with biscuit , large whole shrimp to amazing pistachio ice cream best freshest ve ever ."
762,is aforementioned line .,['aforementioned line'],is aforementioned line .
763,food is reliable price is moderate .,['reliable price'],food is reliable price is moderate .
764,"aside bearded , courdoroy blazer professor type nyu student he sleeping week , see strange mix of hipster , frat boy , smith type need to be told black , bitter cougar cant understand arent married yet ...","['frat boy', 'bitter cougar', 'black , bitter cougar', 'strange mix', 'professor type', 'black cougar', 'type student', 'nyu student', 'bearded type', 'blazer professor', 'courdoroy blazer', 'smith type']","aside bearded , courdoroy blazer professor type nyu student he sleeping week , see strange mix of hipster , frat boy , smith type need to be told black , bitter cougar cant understand arent married yet ..."
765,"ambiance atmosphere great , food service could lot better .","['ambiance atmosphere', 'food service', 'great atmosphere']","ambiance atmosphere great , food service could lot better ."
766,we always go on weekend leave extremely full satisfied .,[],we always go on weekend leave extremely full satisfied .
767,dont is still running .,[],dont is still running .
768,server really cool served u food drink smile .,"['food drink', 'served smile', 'drink smile']",server really cool served u food drink smile .
769,we in search of food stumbled on block of indian restaurant on east sixth street .,"['indian restaurant', 'east sixth street', 'sixth street']",we in search of food stumbled on block of indian restaurant on east sixth street .
770,"planet thailand always hit me , go usually sushi , is great , thai food is excellent .","['planet thailand', 'thai food']","planet thailand always hit me , go usually sushi , is great , thai food is excellent ."
771,"excited to hear short term chef jason narone moved on , he truly low point of sterling track record .","['track record', 'low point', 'short term', 'sterling track record', 'sterling record']","excited to hear short term chef jason narone moved on , he truly low point of sterling track record ."
772,excellent experience .,['excellent experience'],excellent experience .
773,"well worth trip , close to city hall downtown subway stop .","['subway stop', 'city hall', 'worth trip', 'well worth trip', 'hall stop', 'downtown subway']","well worth trip , close to city hall downtown subway stop ."
774,to share my table loud group of kid service rude an unattentive .,"['loud group', 'my table loud group', 'an unattentive', 'service rude', 'kid service rude', 'kid service']",to share my table loud group of kid service rude an unattentive .
775,could want ?,[],could want ?
776,"if type of person like scared entertained , is great to go eat .",[],"if type of person like scared entertained , is great to go eat ."
777,"in , see go wrong .",[],"in , see go wrong ."
778,the sauce on the pizza is sooo good garlic fresh tomato skimp .,"['garlic skimp', 'tomato skimp', 'sooo skimp', 'the sauce', 'fresh tomato', 'the pizza']",the sauce on the pizza is sooo good garlic fresh tomato skimp .
779,"we recently decided to try , to delight , outdoor seating , perfect since my yorkie me .","['outdoor seating', 'my yorkie', 'perfect seating']","we recently decided to try , to delight , outdoor seating , perfect since my yorkie me ."
780,"my husband mesclun , salmon , ice cream he enjoyed course .",['ice cream'],"my husband mesclun , salmon , ice cream he enjoyed course ."
781,we told wait twenty minute would be no problem pm curtain call .,"['pm call', 'curtain call', 'problem call']",we told wait twenty minute would be no problem pm curtain call .
782,food is usually good but it certainly relaxing place to go .,[],food is usually good but it certainly relaxing place to go .
783,told it is open hr is good .,[],told it is open hr is good .
784,"super friendly knowledgable staff , fabulous bistro fare wonderful jazz brunch great live jazz chilaquiles awesome !","['wonderful jazz brunch', 'friendly staff', 'jazz brunch', 'knowledgable staff', 'super friendly knowledgable staff', 'wonderful brunch', 'live jazz']","super friendly knowledgable staff , fabulous bistro fare wonderful jazz brunch great live jazz chilaquiles awesome !"
785,price fantastic .,['price fantastic'],price fantastic .
786,great !,[],great !
787,"still , quibble bill set by pour measure of liquers courtesey of house ...","['pour measure', 'quibble bill', 'still , quibble bill']","still , quibble bill set by pour measure of liquers courtesey of house ..."
788,"table service could little attentive but a someone also work in service industry , understood busy .","['service industry', 'table service', 'a someone']","table service could little attentive but a someone also work in service industry , understood busy ."
789,"it not mind blowing , but to me , thai food never is never be .",['thai food'],"it not mind blowing , but to me , thai food never is never be ."
790,"food good a well , considering we tried budget selection though wish pork belly ordered roasted bit longer , so fat of melt in mouth experience .","['roasted bit', 'good food', 'pork belly', 'budget selection', 'mouth experience']","food good a well , considering we tried budget selection though wish pork belly ordered roasted bit longer , so fat of melt in mouth experience ."
791,"although , one night we went it super cheesy , another night it less cheesy .",[],"although , one night we went it super cheesy , another night it less cheesy ."
792,"even though it is little loud , to yell at to talk .",[],"even though it is little loud , to yell at to talk ."
793,"ve to sapphire twice time food fine , if not good .","['food fine', 'twice time', 'time fine']","ve to sapphire twice time food fine , if not good ."
794,it is kinda nosiy table close together but it still beautiful place to enjoy nice dinner .,"['beautiful place', 'still beautiful place', 'nosiy table', 'nice dinner', 'kinda nosiy', 'kinda nosiy table']",it is kinda nosiy table close together but it still beautiful place to enjoy nice dinner .
795,surprisingly disappointed .,[],surprisingly disappointed .
796,love fact pizza taste so good is so cheap .,"['love fact pizza taste', 'fact taste', 'love fact', 'good taste', 'pizza taste']",love fact pizza taste so good is so cheap .
797,nicky nose at bar is treat .,['nicky nose'],nicky nose at bar is treat .
798,went to ruby foo work group of .,"['ruby group', 'work group', 'foo group', 'ruby foo work group']",went to ruby foo work group of .
799,amazed we kicked of yet .,[],amazed we kicked of yet .
800,"service prompt , friendly great .",['service prompt'],"service prompt , friendly great ."
801,"eat lamb chop a delicious a , salad really nice dressed lemon extra virgnin olive oil .","['salad oil', 'virgnin oil', 'extra oil', 'nice oil', 'dressed lemon', 'olive oil']","eat lamb chop a delicious a , salad really nice dressed lemon extra virgnin olive oil ."
802,sushi awful !,['sushi awful'],sushi awful !
803,katz nyc original year .,"['original year', 'katz year', 'katz nyc original year']",katz nyc original year .
804,get an excellent meal at of many indian restaurant on nearby lexington avenue cost of one dainty dish .,"['many indian restaurant', 'dainty dish', 'avenue cost', 'excellent meal', 'nearby cost', 'nearby lexington avenue cost', 'an excellent meal', 'one dainty dish', 'many restaurant', 'indian restaurant', 'lexington avenue']",get an excellent meal at of many indian restaurant on nearby lexington avenue cost of one dainty dish .
805,"pastrami sandwich like buttah pickle an icy cold beer to wash it , it pleasurable experience .","['an icy cold beer', 'cold beer', 'pleasurable experience', 'buttah pickle', 'icy beer', 'pastrami sandwich']","pastrami sandwich like buttah pickle an icy cold beer to wash it , it pleasurable experience ."
806,plain pizza soggy creative wild mushroom third generation fornini pizza we drenched truffle oil in middle making it soggy nothingon rest .,"['wild mushroom', 'truffle oil', 'plain pizza', 'third generation', 'generation fornini', 'creative pizza', 'nothingon rest', 'fornini pizza']",plain pizza soggy creative wild mushroom third generation fornini pizza we drenched truffle oil in middle making it soggy nothingon rest .
807,"late nite omelletes not good , is no variety !","['late nite omelletes', 'no variety', 'good omelletes', 'nite omelletes']","late nite omelletes not good , is no variety !"
808,everything at sala thai is tasty well portioned .,['sala thai'],everything at sala thai is tasty well portioned .
809,", complained to me small tip .",['small tip'],", complained to me small tip ."
810,it great to pick up cheap lunch or dinner .,['cheap lunch'],it great to pick up cheap lunch or dinner .
811,"behind counter , two men squeezed in .",['two men'],"behind counter , two men squeezed in ."
812,great find ! !,['great find'],great find ! !
813,"if delivered , make mint !",[],"if delivered , make mint !"
814,"whenever need sushi fix , mizu be quality fish great service .","['great service', 'sushi fix', 'quality service', 'quality fish great service']","whenever need sushi fix , mizu be quality fish great service ."
815,"waitress sweet accomodating , not overbearing .",['sweet accomodating'],"waitress sweet accomodating , not overbearing ."
816,went my wife we to wait table even though could see many empty not reservation sigh on .,"['reservation sigh', 'empty sigh', 'my wife', 'many sigh']",went my wife we to wait table even though could see many empty not reservation sigh on .
817,really disappointed ant wanted to tell everyone not to go eat or even take food .,[],really disappointed ant wanted to tell everyone not to go eat or even take food .
818,website rating make place look wonderful but in reality it disappointing .,['website rating'],website rating make place look wonderful but in reality it disappointing .
819,"despite slightly limited menu , everything prepared is done to perfection , ultra fresh work of food art .","['fresh work', ', ultra fresh work', 'slightly limited menu', 'food art', 'ultra work', 'limited menu']","despite slightly limited menu , everything prepared is done to perfection , ultra fresh work of food art ."
820,outdoor atmosphere of sitting on sidewalk watching world go by foot away on th avenue on cool evening wonderful .,"['cool evening', 'outdoor atmosphere']",outdoor atmosphere of sitting on sidewalk watching world go by foot away on th avenue on cool evening wonderful .
821,"large is , topping .",[],"large is , topping ."
822,"in event , is ll be sure to stop by in part of town .",[],"in event , is ll be sure to stop by in part of town ."
823,definitely go back .,[],definitely go back .
824,it is not worth buck .,[],it is not worth buck .
825,brick oven gallery is my pick best pizza anywhere .,"['my pick best pizza', 'oven gallery', 'best pizza', 'brick oven gallery']",brick oven gallery is my pick best pizza anywhere .
826,add to great service great food at reasonable price beginning of great evening .,"['great evening', 'reasonable beginning', 'great service great food', 'great service', 'great food', 'reasonable price beginning', 'price beginning']",add to great service great food at reasonable price beginning of great evening .
827,"many people , may not seem like aunthentic thai food place in nyc arent quite authentic .","['many people', 'aunthentic thai food place', 'food place', 'aunthentic place', 'thai place']","many people , may not seem like aunthentic thai food place in nyc arent quite authentic ."
828,"growing up in ny , eaten my share of bagel .",['my share'],"growing up in ny , eaten my share of bagel ."
829,"oh , even let me start expensive bill !",['expensive bill'],"oh , even let me start expensive bill !"
830,hearty two thumb up !,"['hearty thumb', 'hearty two thumb']",hearty two thumb up !
831,scallion pancake fried dumpling nothing of ordinary .,['scallion pancake'],scallion pancake fried dumpling nothing of ordinary .
832,"appetizer salad fabulous , steak mouth watering pasta delicious ! !","['appetizer salad', 'steak mouth']","appetizer salad fabulous , steak mouth watering pasta delicious ! !"
833,"besides table we promised given to patron twice we actually seated , we served dish we ordered three time , received one of order minute rest of table served order undercooked , charged we on bill .","['order minute rest', 'order minute', 'minute rest']","besides table we promised given to patron twice we actually seated , we served dish we ordered three time , received one of order minute rest of table served order undercooked , charged we on bill ."
834,service is top notch .,['top notch'],service is top notch .
835,food is inconsistent .,[],food is inconsistent .
836,pretty good .,[],pretty good .
837,"also special order kind of dumpling , etc .",['special order'],"also special order kind of dumpling , etc ."
838,guy rock .,['guy rock'],guy rock .
